facility,facility_name,betweenness,pagerank,clustering_coeff,in_degree,out_degree,weighted_in_degree,weighted_out_degree,in_legs,in_excess_minutes,in_late_legs,out_legs,out_excess_minutes,out_late_legs,legs_touched,late_legs_touched,excess_minutes_touched,sla_contribution_pct,betweenness_score,weighted_in_degree_score,weighted_out_degree_score,excess_minutes_touched_score,chokepoint_score
IND202001AAC,Aligarh_Central_D_2 (Uttar Pradesh),0.0,0.00017023117673190812,0.0,0,1,0,4,0.0,0.0,0.0,4.0,15.244871794871827,3.0,4.0,3.0,15.244871794871827,0.002779314397869487,0.0,0.0,0.005215123859191656,0.0004612786575630681,0.0011583444362290982
IND110083AAA,Delhi_Mangol_DC (Delhi),0.0,0.0003426493264932778,0.0,1,0,3,0,3.0,28.28750000000001,2.0,1.0,7.833333333333343,1.0,4.0,3.0,36.12083333333335,0.006585240827026682,0.0,0.004366812227074236,0.0,0.0010929425799214743,0.0011465980903952158
IND262001AAA,Pilibhit_ViksClny_D (Uttar Pradesh),0.0,0.00017023117673190812,0.0,0,1,0,4,3.0,0.0,0.0,5.0,13.058064516129065,2.0,8.0,2.0,13.058064516129065,0.0023806344327667274,0.0,0.0,0.005215123859191656,0.00039511033949122116,0.0011418023567111365
IND500032AAA,Hyd_Chandanagar_Dc (Telangana),0.0,0.00017023117673190812,0.0,0,1,0,4,0.0,0.0,0.0,4.0,11.340454545454548,1.0,4.0,1.0,11.340454545454548,0.002067494500489586,0.0,0.0,0.005215123859191656,0.00034313897284737703,0.0011288095150501754
IND732138AAA,Bamangola_Central_D_1 (West Bengal),0.0,0.00017023117673190812,0.0,0,1,0,3,2.0,20.10000000000005,2.0,6.0,25.09892473118279,2.0,8.0,4.0,45.19892473118284,0.008240280663813342,0.0,0.0,0.003911342894393742,0.0013676270685534797,0.0011241753460171184
IND756019AAA,Balasore_Ganeshwr_D (Orissa),0.0,0.00017023117673190812,0.0,0,1,0,4,3.0,0.0,0.0,7.0,9.470370370370382,2.0,10.0,2.0,9.470370370370382,0.0017265567777605762,0.0,0.0,0.005215123859191656,0.00028655404845969286,0.0011146632839532543
IND272001AAA,Basti_GndhiNgr_D (Uttar Pradesh),0.0,0.00017023117673190812,0.0,0,1,0,4,2.0,0.0,0.0,4.0,5.845310245310287,1.0,6.0,1.0,5.845310245310287,0.001065666877583702,0.0,0.0,0.005215123859191656,0.00017686713927652595,0.0010872415566574626
IND785675AAA,Moranhat_TiloiDPP_D (Assam),0.0,0.0002898155812424882,0.0,1,0,3,0,3.0,26.875,2.0,1.0,0.0,0.0,4.0,2.0,26.875,0.004899619717882348,0.0,0.004366812227074236,0.0,0.000813182563213001,0.0010766580862180974
IND470227AAB,Rehli_Ward7DPP_D (Madhya Pradesh),0.0,0.0003149399203865224,0.0,1,0,3,0,3.0,25.12500000000003,1.0,0.0,0.0,0.0,3.0,1.0,25.12500000000003,0.004580574712996992,0.0,0.004366812227074236,0.0,0.0007602311404921553,0.001063420230537886
IND504293AAA,Asifabad_PaikjNGR_D (Telangana),0.0,0.00017023117673190812,0.0,0,1,0,3,4.0,0.0,0.0,4.0,36.231250000000045,1.0,8.0,1.0,36.231250000000045,0.006605371047573026,0.0,0.0,0.003911342894393742,0.0010962835625455286,0.0010563394695151307
IND791125AAB,Likabali_ZoomCDPP_D (Arunachal Pradesh),0.0,0.00017023117673190812,0.0,0,1,0,4,0.0,0.0,0.0,4.0,1.5779526748971477,1.0,4.0,1.0,1.5779526748971477,0.0002876788107836748,0.0,0.0,0.005215123859191656,4.774562235541112e-05,0.001054961177427184
IND144527AAA,Garhshnker_Jagrata_D (Punjab),0.0,0.00017023117673190812,0.0,0,1,0,4,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.005215123859191656,0.0,0.0010430247718383311
IND181152AAA,Jammu_TrnptNgr_L (Jammu & Kashmir),0.0,0.00017023117673190812,0.0,0,1,0,4,5.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.005215123859191656,0.0,0.0010430247718383311
