source_center,destination_center,leg_count,median_delay_ratio,mean_delay_ratio,p75_delay_ratio,median_actual_minutes,median_osrm_minutes,median_osrm_km,total_excess_minutes,late_rate,ftl_share
IND560058AAB,IND562132AAA,9,1.6842105263157894,1.6739538239538239,1.8,32.0,20.0,13.6761,1.6026315789473742,0.1111111111111111,0.0
IND560058AAD,IND562132AAA,27,1.7083333333333333,3.0250425630135775,3.7083333333333335,40.0,23.0,15.1598,874.9728515625001,0.37037037037037035,0.0
IND560060AAB,IND560099AAB,9,1.34375,1.3424706254284053,1.375,44.0,33.0,30.8395,0.0,0.0,0.0
IND560060AAB,IND562132AAA,16,1.6770114942528735,2.0666347197944805,1.9666666666666666,50.0,30.0,24.90175,189.5209523809524,0.1875,0.0
IND560064AAD,IND560043AAC,28,2.5714285714285716,2.4954644357743097,2.696428571428571,38.5,15.0,14.39455,17.972727272727283,0.14285714285714285,0.0
IND560067AAC,IND562114AAA,17,2.7777777777777777,3.099405822935235,3.3333333333333335,27.0,10.0,12.6328,68.42424242424246,0.29411764705882354,0.0
IND560078AAC,IND560099AAB,14,3.54,3.513985475314341,4.729166666666667,82.5,24.0,22.5303,164.6282105263158,0.5,0.0
IND560078AAC,IND562132AAA,14,1.5119047619047619,1.7619090376565458,1.7516611295681064,63.5,42.0,34.737849999999995,140.97412280701758,0.14285714285714285,0.0
IND560083AAB,IND562132AAA,24,1.7093023255813953,2.0959566596194503,2.148784355179704,74.0,44.0,41.5286,435.78227746591836,0.375,0.0
IND560085AAA,IND562132AAA,4,1.806766917293233,1.9177375256322624,2.04066985645933,66.0,36.5,29.6078,14.359197994987468,0.25,0.0
IND560099AAB,IND560002AAA,18,2.125,1.999459644255377,2.638157894736842,42.5,21.5,18.8889,70.26249999999999,0.3333333333333333,0.0
IND560099AAB,IND560043AAC,24,1.6100230414746544,1.9056844702391258,2.030791788856305,49.0,30.0,27.4859,229.7164706817099,0.3333333333333333,0.0
IND560099AAB,IND560048AAB,25,1.5161290322580645,1.8771925381484533,1.9142857142857144,48.0,31.0,26.8498,286.8346774193548,0.28,0.0
IND560099AAB,IND560058AAB,29,1.641025641025641,1.9045581153620013,2.3636363636363638,63.0,36.0,32.1224,275.7404223227753,0.3793103448275862,0.0
IND560099AAB,IND560060AAB,21,1.375,1.5416813646720124,1.7222222222222223,44.0,33.0,31.640400000000003,93.38629807692311,0.2857142857142857,0.0
IND560099AAB,IND560078AAC,21,1.8,1.8674077785568468,2.347826086956522,40.0,22.0,20.656,81.72307692307692,0.3333333333333333,0.0
IND560099AAB,IND560085AAA,12,2.359848484848485,2.6355242932760095,3.4342105263157894,54.0,22.0,18.8378,116.57807486631019,0.5,0.0
